order_id,courier,order_date,promised_date,delivered_date,delay_days,city,zone,category,weight_kg
AMZ106423,Ekart,2025-01-08,2025-01-12,2025-01-16,4,Mumbai,North,Beauty,1.92
AMZ108592,Amazon Logistics,2024-01-26,2024-01-29,2024-01-29,0,Chennai,South,Clothing,1.81
AMZ102669,BlueDart,2025-05-18,2025-05-21,2025-05-22,1,Kolkata,North,Electronics,4.96
AMZ106453,DTDC,2024-09-26,2024-09-28,2024-09-30,2,Mumbai,North,Clothing,0.21
AMZ101796,Delhivery,2025-06-27,2025-07-01,2025-07-02,1,Pune,South,Books,2.73
AMZ107188,Amazon Logistics,2024-07-10,2024-07-11,2024-07-14,3,Chennai,West,Toys,3.67
AMZ100830,Ekart,2025-10-20,2025-10-22,2025-10-23,1,Mumbai,West,Clothing,0.28
AMZ105398,Ekart,2024-02-29,2024-03-02,2024-03-05,3,Hyderabad,West,Clothing,0.96
AMZ100058,Delhivery,2025-07-21,2025-07-24,2025-07-28,4,Chennai,West,Beauty,0.12
AMZ104508,Delhivery,2025-07-13,2025-07-15,2025-07-18,3,Kolkata,North,Electronics,2.66
AMZ104812,BlueDart,2024-10-06,2024-10-09,2024-10-10,1,Pune,Central,Books,0.56
AMZ109972,GATI,2025-06-19,2025-06-24,2025-07-15,21,Delhi,West,Grocery,1.25
AMZ104069,Delhivery,2024-06-09,2024-06-10,2024-06-13,3,Hyderabad,South,Beauty,0.3
AMZ105686,Shiprocket,2025-03-29,2025-03-31,2025-04-02,2,Kolkata,North,Clothing,1.3
AMZ104494,BlueDart,2024-11-07,2024-11-12,2024-11-14,2,Pune,South,Home & Kitchen,0.61
AMZ109915,Shiprocket,2025-04-18,2025-04-20,2025-04-23,3,Chennai,North,Beauty,1.66
AMZ104787,Ekart,2024-06-01,2024-06-03,2024-06-06,3,Mumbai,Central,Grocery,0.75
AMZ102694,DTDC,2025-09-09,2025-09-14,2025-09-19,5,Kochi,East,Clothing,4.12
AMZ109200,Delhivery,2025-07-22,2025-07-23,2025-07-23,0,Hyderabad,South,Clothing,0.1
AMZ108367,XpressBees,2025-06-12,2025-06-17,2025-06-22,5,Pune,West,Electronics,0.94
AMZ107678,BlueDart,2025-08-01,2025-08-04,2025-08-07,3,Mumbai,North,Clothing,0.1
AMZ102344,XpressBees,2025-06-20,2025-06-21,2025-06-24,3,Mumbai,North,Beauty,2.96
AMZ105539,Amazon Logistics,2025-05-27,2025-05-30,2025-06-04,5,Bangalore,East,Home & Kitchen,1.41
AMZ107139,Amazon Logistics,2025-01-24,2025-01-26,2025-01-26,0,Hyderabad,Central,Electronics,1.95
AMZ101217,XpressBees,,,,0,Bangalore,Central,Clothing,0.12
AMZ109014,DTDC,2025-03-28,2025-03-30,2025-04-02,3,Kolkata,Central,Books,2.01
AMZ109334,Ekart,2025-04-14,2025-04-17,2025-04-19,2,Mumbai,South,Clothing,1.46
AMZ104207,BlueDart,2025-07-15,2025-07-22,2025-07-22,0,Hyderabad,West,Toys,0.6
AMZ100419,Delhivery,2025-06-01,2025-06-03,2025-06-05,2,Delhi,North,Books,1.31
AMZ100665,XpressBees,2025-05-18,2025-05-25,2025-05-24,-1,Delhi,East,Beauty,0.85
AMZ102801,GATI,2025-01-20,2025-01-23,2025-01-27,4,Delhi,South,Beauty,0.48
AMZ107209,Delhivery,2025-08-29,2025-08-31,2025-09-03,3,Bangalore,West,Clothing,0.16
AMZ102728,BlueDart,2024-10-14,2024-10-16,2024-10-17,1,Kochi,South,Books,0.1
AMZ109699,BlueDart,2024-06-14,2024-06-21,2024-06-26,5,Hyderabad,South,Books,1.38
AMZ100190,XpressBees,2025-08-08,2025-08-11,2025-08-14,3,Mumbai,North,Home & Kitchen,0.36
AMZ106227,Delhivery,2024-02-04,2024-02-06,2024-02-08,2,Mumbai,East,Beauty,1.12
AMZ102622,Ekart,2025-03-05,2025-03-08,2025-03-11,3,Bangalore,South,Toys,2.56
AMZ105597,XpressBees,2025-05-31,2025-06-01,2025-06-03,2,Mumbai,East,Books,0.17
AMZ108347,Shiprocket,2024-03-09,2024-03-11,2024-03-14,3,Delhi,East,Books,0.14
AMZ101710,Amazon Logistics,2025-01-10,2025-01-14,2025-01-15,1,Kolkata,North,Beauty,1.22
AMZ108351,Delhivery,2024-06-26,2024-06-29,2024-06-30,1,Hyderabad,Central,Toys,0.16
AMZ108099,Amazon Logistics,2024-10-21,2024-10-25,2024-10-27,2,Hyderabad,West,Electronics,3.26
AMZ101884,XpressBees,2024-11-21,2024-11-24,2024-11-26,2,Mumbai,South,Books,0.49
AMZ100109,Ekart,2024-11-26,2024-11-28,2024-12-02,4,Mumbai,North,Grocery,0.38
AMZ100458,XpressBees,2024-10-15,2024-10-17,2024-10-21,4,Chennai,Central,Clothing,0.66
AMZ101162,XpressBees,2024-02-14,2024-02-18,2024-02-21,3,Bangalore,West,Beauty,2.07
AMZ103667,Shiprocket,2024-12-13,2024-12-17,2024-12-18,1,Kochi,Central,Electronics,1.27
AMZ104664,Ekart,2024-11-29,2024-12-02,2024-12-06,4,Pune,West,Beauty,3.99
AMZ105312,BlueDart,2024-01-14,2024-01-16,2024-01-18,2,Hyderabad,North,Clothing,2.3
AMZ106682,GATI,2025-02-20,2025-02-22,2025-02-23,1,Mumbai,North,Clothing,0.48
AMZ101466,XpressBees,2024-01-09,2024-01-11,2024-01-13,2,Pune,East,Clothing,1.84
AMZ104062,DTDC,2025-06-01,2025-06-06,2025-06-09,3,Delhi,West,Electronics,0.68
AMZ103968,Ekart,2024-10-14,2024-10-17,2024-10-19,2,Kolkata,North,Clothing,1.48
AMZ109926,Ekart,2025-02-26,2025-03-04,2025-03-05,1,Chennai,South,Electronics,2.42
AMZ106801,Delhivery,2025-01-10,2025-01-13,2025-01-17,4,Mumbai,South,Clothing,0.51
AMZ108835,Shiprocket,2024-06-29,2024-06-30,2024-07-01,1,Kolkata,North,Grocery,1.16
AMZ105230,Ekart,2025-06-03,2025-06-05,2025-06-08,3,Delhi,East,Clothing,1.1
AMZ105345,Amazon Logistics,2025-01-21,2025-01-23,2025-01-25,2,Delhi,Central,Toys,0.51
AMZ109759,DTDC,2024-07-19,2024-07-20,2024-07-23,3,Bangalore,East,Toys,1.29
AMZ106780,XpressBees,2024-04-24,2024-04-26,2024-04-27,1,Bangalore,East,Clothing,0.1
AMZ106366,GATI,2025-01-27,2025-01-28,2025-01-29,1,Hyderabad,East,Electronics,1.44
AMZ109064,Ekart,2025-02-25,2025-02-27,2025-03-01,2,Delhi,East,Clothing,1.27
AMZ106660,Delhivery,2025-01-31,2025-02-03,2025-02-05,2,Chennai,South,Electronics,0.61
AMZ108241,Ekart,2025-02-25,2025-03-02,2025-03-03,1,Bangalore,South,Electronics,1.82
AMZ105492,Shiprocket,2024-01-16,2024-01-21,2024-01-21,0,Mumbai,North,Books,0.91
AMZ107226,GATI,2025-06-04,2025-06-06,2025-06-07,1,Hyderabad,East,Home & Kitchen,2.52
AMZ101060,Ekart,2025-04-01,2025-04-02,2025-04-02,0,Hyderabad,South,Home & Kitchen,0.1
AMZ109052,Ekart,2025-09-24,2025-09-26,2025-09-28,2,Chennai,North,Beauty,1.43
AMZ100465,Amazon Logistics,2025-07-02,2025-07-07,2025-07-10,3,Mumbai,Central,Home & Kitchen,0.1
AMZ105562,Shiprocket,2025-05-17,2025-05-18,2025-05-19,1,Chennai,Central,Clothing,2.18
AMZ103113,BlueDart,2024-02-03,2024-02-05,2024-02-10,5,Bangalore,Central,Books,0.86
AMZ103799,Ekart,2025-09-04,2025-09-07,2025-09-10,3,Kolkata,Central,Beauty,0.24
AMZ108528,Ekart,2024-02-23,2024-02-26,2024-03-13,16,Bangalore,South,Grocery,0.44
AMZ105584,BlueDart,2024-09-25,2024-09-26,2024-09-28,2,Mumbai,Central,Books,1.17
AMZ106788,Ekart,2025-04-15,2025-04-16,2025-04-18,2,Chennai,North,Clothing,0.6
AMZ104470,Delhivery,2025-10-23,2025-10-24,2025-10-30,6,Mumbai,North,Electronics,3.1
AMZ107104,Delhivery,2024-06-02,2024-06-04,2024-06-05,1,Hyderabad,North,Electronics,1.48
AMZ109694,BlueDart,2024-06-18,2024-06-21,2024-06-25,4,Ahmedabad,Central,Electronics,2.4
AMZ103818,Ekart,2024-03-18,2024-03-19,2024-03-20,1,Kolkata,Central,Home & Kitchen,1.64
AMZ101439,Ekart,2024-09-05,2024-09-09,2024-09-13,4,Bangalore,Central,Grocery,0.29
AMZ109607,Amazon Logistics,2024-01-29,2024-01-31,2024-02-01,1,Mumbai,East,Home & Kitchen,0.1
AMZ100756,DTDC,2025-05-10,2025-05-16,2025-05-16,0,Hyderabad,Central,Toys,0.41
AMZ109589,Ekart,2024-05-23,2024-05-24,2024-05-26,2,Udupi,North,Beauty,1.31
AMZ106389,Amazon Logistics,2025-03-15,2025-03-16,2025-03-17,1,Kochi,West,Toys,1.72
AMZ106026,XpressBees,2025-09-26,2025-09-29,2025-10-18,19,Ahmedabad,East,Grocery,0.91
AMZ104796,XpressBees,2025-05-17,2025-05-18,2025-05-20,2,Mumbai,South,Home & Kitchen,0.24
AMZ107550,Amazon Logistics,2024-11-28,2024-12-02,2024-12-03,1,Delhi,Central,Electronics,5.53
AMZ100393,Delhivery,2024-05-23,2024-05-26,2024-05-27,1,Pune,West,Clothing,1.84
AMZ108526,Delhivery,2024-07-24,2024-07-25,2024-07-29,4,Delhi,South,Books,1.16
AMZ108875,BlueDart,2024-05-10,2024-05-11,2024-05-12,1,Delhi,North,Clothing,1.23
AMZ105367,Delhivery,2025-01-22,2025-01-26,2025-01-26,0,Mumbai,Central,Toys,2.77
AMZ106121,BlueDart,2025-08-20,2025-08-24,2025-08-24,0,Kolkata,South,Books,0.51
AMZ100094,Amazon Logistics,2025-04-09,2025-04-16,2025-04-19,3,Mumbai,East,Clothing,1.8
AMZ108105,Amazon Logistics,2024-02-03,2024-02-10,2024-02-08,-2,Delhi,West,Grocery,0.1
AMZ109591,Delhivery,2025-08-04,2025-08-06,2025-08-06,0,Hyderabad,South,Grocery,1.34
AMZ100329,DTDC,2024-11-02,2024-11-05,2024-11-07,2,Pune,West,Toys,1.43
AMZ100586,Amazon Logistics,2025-07-18,2025-07-19,2025-07-22,3,Delhi,South,Toys,0.1
AMZ103985,DTDC,2024-12-18,2024-12-20,2024-12-22,2,Delhi,North,Home & Kitchen,0.24
AMZ107971,XpressBees,2025-03-24,2025-03-26,2025-04-02,7,Kolkata,Central,Clothing,3.67
AMZ107428,Amazon Logistics,2024-04-01,2024-04-04,2024-04-07,3,Mumbai,East,Clothing,0.13
AMZ103214,Delhivery,2025-11-04,2025-11-06,2025-11-06,0,Mumbai,West,Clothing,2.22
AMZ108775,Amazon Logistics,2024-04-03,2024-04-04,2024-04-06,2,Delhi,North,Clothing,0.1
AMZ107039,GATI,,,,0,Kochi,South,Toys,1.88
AMZ103427,XpressBees,2024-03-04,2024-03-07,2024-03-09,2,Hyderabad,East,Electronics,2.54
AMZ105702,Delhivery,2024-04-28,2024-05-04,2024-05-05,1,Chennai,West,Clothing,2.66
AMZ107404,Delhivery,2024-10-20,2024-10-21,2024-10-24,3,Kochi,West,Electronics,0.3
AMZ100588,Ekart,2025-02-10,2025-02-12,2025-02-11,-1,Kolkata,Central,Home & Kitchen,0.67
AMZ102325,BlueDart,2024-10-02,2024-10-04,2024-10-08,4,Chennai,South,Clothing,1.87
AMZ104860,Ekart,2025-08-30,2025-08-31,2025-09-07,7,Hyderabad,West,Beauty,0.63
AMZ106363,Delhivery,2024-01-26,2024-01-29,2024-01-30,1,Chennai,West,Clothing,0.31
AMZ102076,Delhivery,2025-10-24,2025-10-27,2025-10-28,1,Mumbai,Central,Home & Kitchen,0.1
AMZ107685,GATI,2025-08-28,2025-09-01,2025-09-03,2,Delhi,South,Home & Kitchen,1.19
AMZ103242,Ekart,2025-04-23,2025-04-25,2025-04-27,2,Chennai,East,Beauty,1.92
AMZ102296,Ekart,2025-01-23,2025-01-24,2025-01-28,4,Bangalore,Central,Electronics,2.3
AMZ103559,Amazon Logistics,2024-02-14,2024-02-24,2024-02-26,2,Mumbai,West,Clothing,0.29
AMZ109357,DTDC,2025-05-28,2025-06-01,2025-06-03,2,Delhi,North,Electronics,1.94
AMZ101766,Amazon Logistics,2025-04-02,2025-04-04,2025-04-04,0,Hyderabad,South,Home & Kitchen,5.11
AMZ108035,Amazon Logistics,2024-01-03,2024-01-05,2024-01-07,2,Mumbai,North,Books,0.1
AMZ106542,Delhivery,2024-06-07,2024-06-09,2024-06-11,2,Bangalore,South,Electronics,1.22
AMZ100810,Amazon Logistics,2025-04-29,2025-05-03,2025-05-03,0,Chennai,East,Electronics,2.15
AMZ103208,BlueDart,2024-02-26,2024-02-29,2024-03-02,2,Bangalore,West,Electronics,2.62
AMZ104699,Delhivery,2024-09-03,2024-09-04,2024-09-07,3,Hyderabad,East,Clothing,0.1
AMZ106697,BlueDart,2024-06-14,2024-06-15,2024-06-15,0,Bangalore,West,Grocery,0.28
AMZ100298,Amazon Logistics,2025-11-07,2025-11-10,2025-11-13,3,Bangalore,North,Electronics,1.32
AMZ102853,Ekart,2025-06-29,2025-07-01,2025-07-03,2,Delhi,North,Electronics,2.72
AMZ103121,Amazon Logistics,2024-10-24,2024-10-29,2024-10-29,0,Mumbai,Central,Home & Kitchen,0.58
AMZ102958,Ekart,2024-06-28,2024-07-01,2024-07-03,2,Bangalore,North,Beauty,1.7
AMZ108163,Delhivery,2024-01-08,2024-01-11,2024-01-11,0,Chennai,South,Electronics,0.34
AMZ107537,Delhivery,2025-03-14,2025-03-19,2025-03-21,2,Kochi,East,Electronics,1.52
AMZ107327,Delhivery,2025-01-03,2025-01-04,2025-01-22,18,Kolkata,North,Grocery,0.36
AMZ105392,DTDC,2024-12-08,2024-12-10,2024-12-10,0,Bangalore,West,Beauty,1.19
AMZ102446,Ekart,2024-06-30,2024-07-06,2024-07-07,1,Chennai,Central,Books,0.17
AMZ107836,DTDC,2025-02-03,2025-02-04,2025-02-08,4,Pune,West,Toys,1.26
AMZ100715,GATI,2025-11-10,2025-11-14,2025-11-16,2,Delhi,North,Clothing,0.31
AMZ104396,BlueDart,2024-05-24,2024-05-27,2024-05-27,0,Kolkata,Central,Grocery,0.1
AMZ108275,Delhivery,2025-01-13,2025-01-15,2025-01-15,0,Mumbai,North,Beauty,0.79
AMZ106111,Amazon Logistics,,,,0,Delhi,Central,Electronics,0.19
AMZ103661,BlueDart,2024-05-28,2024-05-31,2024-06-01,1,Bangalore,North,Grocery,0.6
AMZ102171,BlueDart,2024-05-29,2024-05-31,2024-05-31,0,Mumbai,South,Grocery,1.85
AMZ105834,GATI,2024-12-29,2024-12-30,2024-12-30,0,Mumbai,North,Clothing,0.1
AMZ108427,BlueDart,2024-12-29,2024-12-30,2025-01-01,2,Delhi,East,Clothing,0.71
AMZ102793,Amazon Logistics,2024-07-13,2024-07-14,2024-07-15,1,Chennai,North,Toys,0.1
AMZ101526,Delhivery,2024-05-20,2024-05-22,2024-05-23,1,Kochi,North,Clothing,0.1
AMZ104724,XpressBees,2025-10-27,2025-10-29,2025-10-29,0,Kolkata,South,Clothing,0.37
AMZ104516,Amazon Logistics,2025-05-08,2025-05-09,2025-05-10,1,Hyderabad,South,Books,0.72
AMZ101061,XpressBees,2025-08-21,2025-08-26,2025-08-26,0,Chennai,West,Grocery,0.1
AMZ107987,XpressBees,2024-01-02,2024-01-08,2024-01-07,-1,Udupi,South,Clothing,1.8
AMZ107350,Delhivery,2025-11-09,2025-11-12,2025-11-13,1,Delhi,Central,Electronics,3.12
AMZ109356,XpressBees,2025-01-22,2025-01-24,2025-01-25,1,Delhi,South,Books,0.31
AMZ106919,Ekart,2024-05-22,2024-05-24,2024-05-25,1,Hyderabad,South,Books,1.55
AMZ101851,Shiprocket,2024-03-12,2024-03-13,2024-03-14,1,Hyderabad,Central,Clothing,0.1
AMZ104893,XpressBees,2025-04-12,2025-04-19,2025-04-22,3,Mumbai,Central,Clothing,1.25
AMZ100175,Amazon Logistics,2024-10-05,2024-10-08,2024-10-08,0,Bangalore,North,Beauty,1.31
AMZ107092,BlueDart,2024-09-08,2024-09-10,2024-09-11,1,Hyderabad,South,Electronics,0.29
AMZ109741,XpressBees,2024-11-24,2024-11-27,2024-11-30,3,Kochi,East,Clothing,0.45
AMZ104415,Amazon Logistics,2025-06-27,2025-06-29,2025-07-01,2,Pune,South,Home & Kitchen,0.14
AMZ102269,Delhivery,2024-12-04,2024-12-06,2024-12-07,1,Chennai,Central,Clothing,4.07
AMZ100739,Delhivery,2024-02-25,2024-02-28,2024-02-29,1,Kolkata,West,Clothing,1.17
